protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1132	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1133	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K08309		slt; soluble lytic murein transglycosylase [EC:4.2.2.-]	6.1e-12	43.7	0.74	PF01464.20	Transglycosylase SLT domain	1.1e-14	49.3	1.58					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1134	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1135	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1136	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1137	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1138	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20												VOG09810	"sp|P17312|TERL_BPT4 Terminase, large subunit"	1.5e-20	69.6	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1139	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF06074.12	Protein of unknown function (DUF935)	1.6e-79	263.2	0.56	VOG01729	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29	7.1e-46	152.4	9.71
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1140	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF04233.14	Phage Mu protein F like protein	6.800000000000001e-27	89.7	2.29	VOG02806	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein	1.9e-75	250.2	1.52
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1141	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20												VOG00373	sp|O05073|VPI_HAEIN Mu-like prophage FluMu I protein	8.3e-39	129.4	3.01
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1142	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1143	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF03864.15	Phage major capsid protein E	5.2e-35	116.4	2.1	VOG00744	sp|Q6KGI8|CAPSD_BPFO1 Major capsid protein	1.8e-17	58.9	9.32
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1144	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF07030.12	Protein of unknown function (DUF1320)	1.2999999999999998e-24	82.0	0.37	VOG01842	sp|Q9T1V9|GPJ_BPMU Gene product J	1.8e-19	65.5	2.6
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1145	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF05069.13	Phage virion morphogenesis family	2.4e-25	84.4	1.0	VOG00721	sp|P36934|VPS_BPP2 Tail completion protein S	7.4e-27	89.7	4.11
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1146	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF08873.11	Domain of unknown function (DUF1834)	2.3e-14	48.9	0.06					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1147	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20												VOG12265	REFSEQ hypothetical protein	6.8e-33	109.5	0.27
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1148	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1149	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20												VOG22128	REFSEQ putative tape measure protein	4.3e-27	89.4	0.66
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1150	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1151	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1152	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1153	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1154	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1155	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1156	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1157	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1158	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K06900		K06900; uncharacterized protein	1.4e-81	272.2	0.02	PF01734.22	Patatin-like phospholipase	9.3e-23	76.7	0.03					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1159	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K00558	AMG	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	1.8e-52	176.2	3.5	PF00145.17	C-5 cytosine-specific DNA methylase	3.1e-42	140.3	3.75	VOG01885	sp|P34877|MTSA_LACLC Modification methylase ScrFIA	2.6e-62	206.1	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1160	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1161	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K04763		xerD; integrase/recombinase XerD	2.3000000000000002e-33	114.2	2.87	PF00589.22	Phage integrase family	2.2999999999999997e-24	81.3	9.33	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1	2.2e-45	150.8	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1411	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K07464		cas4; CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	2.5e-61	205.8	0.41	PF01930.17	Domain of unknown function DUF83	1.6e-37	124.4	0					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1412	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K15342		cas1; CRISP-associated protein Cas1	1.9e-113	378.4	0.02	PF01867.16	CRISPR associated protein Cas1	4.2e-102	336.3	0.02					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1413	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K09951		cas2; CRISPR-associated protein Cas2	9.6e-21	72.5	0	PF09827.9	CRISPR associated protein Cas2	3.3e-24	80.2	0					
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1414	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1415	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1416	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1417	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG14753	REFSEQ hypothetical protein	7e-27	88.6	0.28
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1418	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1419	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1420	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K18843		hicB; antitoxin HicB	1.2999999999999998e-47	159.0	0.36						VOG11403	sp|P51716|YO14_BPHC1 Uncharacterized 14.9 kDa protein in rep-hol intergenic region	2.4e-23	78.1	1.77
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1421	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K07339		hicA; mRNA interferase HicA [EC:3.1.-.-]	6e-12	43.5	0.15										
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1422	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K04763		xerD; integrase/recombinase XerD	1e-51	174.6	2.87	PF00589.22	Phage integrase family	2.1e-35	117.3	9.33	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1	3.1e-60	199.6	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1423	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1424	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K00571		E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	3.9e-50	169.0	3.81	PF01555.18	DNA methylase	2.3e-25	84.8	5.1	VOG00102	sp|P29538|MTH1_HAEPA Modification methylase HpaI	4.4e-54	178.6	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1425	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG00845	REFSEQ hypothetical protein	5.6e-12	40.7	0.31
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1426	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1427	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1428	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1429	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K19721		"COL5AS; collagen, type V/XI/XXIV/XXVII, alpha"	7.7e-15	51.1	1.85	PF01391.18	Collagen triple helix repeat (20 copies)	8.1e-13	43.2	3.08	VOG00114	sp|Q5UQ50|COLL6_MIMIV Collagen-like protein 6	2.9e-15	50.7	0.58
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1430	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG03467	REFSEQ hypothetical protein	6e-27	89.6	0.12
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1431	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K20269		rhiB; rhizosphere induced protein	3.4e-15	54.3	0.05	PF07484.12	Phage Tail Collar Domain	9.9e-14	46.4	1.0	VOG01035	REFSEQ putative phage-related tail fiber protein	4.3e-15	50.7	1.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1432	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10076.9	Uncharacterised protein conserved in bacteria (DUF2313)	5.3e-26	86.6	0.43	VOG02155	sp|P75982|YMFQ_ECOLI Uncharacterized protein YmfQ	3.8e-30	100.2	0.63
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1433	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF04865.14	Baseplate J-like protein	8.1e-53	174.4	2.88	VOG00243	sp|P51767|BPJ_BPP2 Baseplate protein J	3.8e-49	162.7	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1434	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF07409.12	Phage protein GP46	3.7e-15	51.0	1.0	VOG00326	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25	3.5e-13	45.0	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1435	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1436	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF06890.12	Bacteriophage Mu Gp45 protein	3.4e-37	121.5	1.0	VOG00751	sp|P31340|SPIKE_BPP2 Spike protein	7.6e-13	44.1	9.01
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1437	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG00534	sp|P10312|BPD_BPP2 Probable baseplate hub protein	1.1e-33	111.9	3.45
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1438	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF07157.12	DNA circularisation protein N-terminus	1.1e-31	104.3	0.21	VOG01137	sp|P71389|VPN_HAEIN Mu-like prophage FluMu DNA circularization protein	1.0000000000000001e-49	165.0	0.74
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1439	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10145.9	Phage-related minor tail protein	4.5e-14	48.0	4.37	VOG22080	REFSEQ hypothetical protein	1.4e-16	55.5	0.14
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1440	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1441	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1442	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG22444	REFSEQ tail tube protein	1.7e-36	120.3	0.14
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1443	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF17482.2	Phage tail sheath C-terminal domain	2.1e-16	55.1	1.0	VOG02914	sp|P44233|VPL_HAEIN Mu-like prophage FluMu tail sheath protein	1.7e-121	401.4	1.23
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1444	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG02275	sp|P79677|GP38_BPMU Putative sheath terminator protein	5e-14	47.2	1.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1445	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF08873.11	Domain of unknown function (DUF1834)	7.099999999999999e-53	174.6	0.06	VOG22443	REFSEQ hypothetical protein	1.2e-14	49.4	0.05
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1446	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF07030.12	Protein of unknown function (DUF1320)	3.1000000000000002e-34	113.1	0.37	VOG01842	sp|Q9T1V9|GPJ_BPMU Gene product J	2.6e-27	90.9	2.6
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1447	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1448	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10124.9	Mu-like prophage major head subunit gpT	9.9e-124	407.5	1.0	VOG11303	sp|Q9T1W1|CAPSD_BPMU Major capsid protein	1.7e-124	410.1	1.38
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1449	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF10123.9	Mu-like prophage I protein	1.9e-93	308.8	1.0	VOG00373	sp|O05073|VPI_HAEIN Mu-like prophage FluMu I protein	1.3000000000000001e-48	161.6	3.01
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1450	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K03556		"malT; LuxR family transcriptional regulator, maltose regulon positive regulatory protein"	1.3e-18	65.1	0										
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1451	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF05069.13	Phage virion morphogenesis family	2.8e-31	103.6	1.0	VOG00721	sp|P36934|VPS_BPP2 Tail completion protein S	6.1000000000000005e-22	73.7	4.11
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1452	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF04233.14	Phage Mu protein F like protein	1.1000000000000002e-28	95.4	2.29	VOG02806	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein	7.499999999999999e-95	314.1	1.52
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1453	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF06074.12	Protein of unknown function (DUF935)	1.7e-163	540.3	0.56	VOG01729	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29	3.6000000000000004e-86	285.3	9.71
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1454	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG00677	"sp|P10310|TERL_BPT3 Terminase, large subunit gp19"	6.9e-73	241.1	10.0
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1455	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF08822.11	Protein of unknown function (DUF1804)	5.2e-64	210.4	0.11	VOG11441	REFSEQ hypothetical protein	1.1000000000000001e-60	199.5	0.86
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1456	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG11440	REFSEQ hypothetical protein	3.4e-14	47.6	0.71
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1457	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1458	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23												VOG15138	REFSEQ hypothetical protein	1.2e-20	69.5	0.35
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1459	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23	K18691		mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]	6.9e-27	92.1	0.31	PF01464.20	Transglycosylase SLT domain	3.7e-14	47.7	1.58	VOG00533	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16	2.8000000000000002e-33	110.5	7.34
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23_1460	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_23							PF13272.6	Putative 2/3 transmembrane domain holin	1.3e-34	113.9	1.0	VOG15135	REFSEQ hypothetical protein	1.1e-29	98.1	0.38
