protein	scaffold	accession	name
NC_020198.1 Pseudomonas phage JBD30, complete genome_31	NC_020198.1 Pseudomonas phage JBD30, complete genome	PF06074.12	Protein of unknown function (DUF935)
NC_020198.1 Pseudomonas phage JBD30, complete genome_32	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG02806	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_33	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00721	sp|P36934|VPS_BPP2 Tail completion protein S
NC_020198.1 Pseudomonas phage JBD30, complete genome_34	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG13920	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_35	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG04596	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_36	NC_020198.1 Pseudomonas phage JBD30, complete genome	PF10123.9	Mu-like prophage I protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_37	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11303	sp|Q9T1W1|CAPSD_BPMU Major capsid protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_38	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11445	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_39	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11446	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_40	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01842	sp|Q9T1V9|GPJ_BPMU Gene product J
NC_020198.1 Pseudomonas phage JBD30, complete genome_41	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG10943	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_42	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11447	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_43	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01417	sp|O31963|YOMU_BACSU SPBc2 prophage-derived uncharacterized protein YomU
NC_020198.1 Pseudomonas phage JBD30, complete genome_44	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00543	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_45	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG22128	REFSEQ putative tape measure protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_46	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00916	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_47	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00916	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_48	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG03173	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_49	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01362	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_50	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG09894	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_51	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01785	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_52	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG09893	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_53	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01595	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_54	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11448	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_55	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG12212	REFSEQ hypothetical protein
