protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
NC_020198.1 Pseudomonas phage JBD30, complete genome_24	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG00741	sp|Q9XJR2|P5_BPPM2 Protein P5	1.3e-50	164.5	2.21
NC_020198.1 Pseudomonas phage JBD30, complete genome_25	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG20560	REFSEQ hypothetical protein	3e-32	102.1	0.1
NC_020198.1 Pseudomonas phage JBD30, complete genome_26	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11439	REFSEQ hypothetical protein	1.6000000000000001e-87	282.3	0.68
NC_020198.1 Pseudomonas phage JBD30, complete genome_27	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11440	REFSEQ hypothetical protein	8.899999999999999e-49	154.9	0.71
NC_020198.1 Pseudomonas phage JBD30, complete genome_28	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF08822.11	Protein of unknown function (DUF1804)	1.0000000000000001e-66	215.8	0.11	VOG11441	REFSEQ hypothetical protein	1.3e-78	254.3	0.86
NC_020198.1 Pseudomonas phage JBD30, complete genome_29	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG04918	REFSEQ hypothetical protein	3.8999999999999996e-75	242.8	0.23
NC_020198.1 Pseudomonas phage JBD30, complete genome_30	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG00677	"sp|P10310|TERL_BPT3 Terminase, large subunit gp19"	2.8999999999999997e-75	245.5	10.0
NC_020198.1 Pseudomonas phage JBD30, complete genome_31	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF06074.12	Protein of unknown function (DUF935)	2e-188	619.1	0.56	VOG01729	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29	1.8e-103	338.9	9.71
NC_020198.1 Pseudomonas phage JBD30, complete genome_32	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF04233.14	Phage Mu protein F like protein	5.5e-35	112.4	2.29	VOG02806	sp|P44226|VPF_HAEIN Mu-like prophage FluMu F protein	9.599999999999999e-132	432.2	1.52
NC_020198.1 Pseudomonas phage JBD30, complete genome_33	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF05069.13	Phage virion morphogenesis family	1.4000000000000001e-28	91.4	1.0	VOG00721	sp|P36934|VPS_BPP2 Tail completion protein S	2e-33	107.6	4.11
NC_020198.1 Pseudomonas phage JBD30, complete genome_34	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG13920	REFSEQ hypothetical protein	4.9000000000000004e-60	191.6	0.06
NC_020198.1 Pseudomonas phage JBD30, complete genome_35	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG04596	REFSEQ hypothetical protein	7.4e-52	165.4	0.73
NC_020198.1 Pseudomonas phage JBD30, complete genome_36	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF10123.9	Mu-like prophage I protein	1.1e-103	338.9	1.0	VOG00373	sp|O05073|VPI_HAEIN Mu-like prophage FluMu I protein	1e-77	254.0	3.01
NC_020198.1 Pseudomonas phage JBD30, complete genome_37	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF10124.9	Mu-like prophage major head subunit gpT	3.5e-127	415.4	1.0	VOG11303	sp|Q9T1W1|CAPSD_BPMU Major capsid protein	3.7e-143	467.9	1.38
NC_020198.1 Pseudomonas phage JBD30, complete genome_38	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11445	REFSEQ hypothetical protein	2.6e-65	210.0	0.76
NC_020198.1 Pseudomonas phage JBD30, complete genome_39	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11446	REFSEQ hypothetical protein	4.4999999999999996e-35	111.6	0.71
NC_020198.1 Pseudomonas phage JBD30, complete genome_40	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF07030.12	Protein of unknown function (DUF1320)	1.1e-31	101.4	0.37	VOG01842	sp|Q9T1V9|GPJ_BPMU Gene product J	4e-37	119.3	2.6
NC_020198.1 Pseudomonas phage JBD30, complete genome_41	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG10943	REFSEQ hypothetical protein	1.7e-54	175.5	1.21
NC_020198.1 Pseudomonas phage JBD30, complete genome_42	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11447	REFSEQ hypothetical protein	1.9e-31	99.7	0.9
NC_020198.1 Pseudomonas phage JBD30, complete genome_43	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG01417	sp|O31963|YOMU_BACSU SPBc2 prophage-derived uncharacterized protein YomU	5.1e-60	194.9	2.67
NC_020198.1 Pseudomonas phage JBD30, complete genome_44	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG00543	REFSEQ hypothetical protein	1.3e-74	242.2	1.51
NC_020198.1 Pseudomonas phage JBD30, complete genome_45	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG22128	REFSEQ putative tape measure protein	4.5e-119	390.5	0.66
NC_020198.1 Pseudomonas phage JBD30, complete genome_46	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG00916	REFSEQ hypothetical protein	2.0000000000000002e-75	246.1	3.34
NC_020198.1 Pseudomonas phage JBD30, complete genome_47	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG00916	REFSEQ hypothetical protein	3.8e-61	199.1	3.34
NC_020198.1 Pseudomonas phage JBD30, complete genome_48	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG03173	REFSEQ hypothetical protein	7.1e-166	544.2	2.96
NC_020198.1 Pseudomonas phage JBD30, complete genome_49	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF09356.10	Phage conserved hypothetical protein BR0599	1e-18	59.3	1.0	VOG01362	REFSEQ hypothetical protein	6.000000000000001e-75	244.0	3.01
NC_020198.1 Pseudomonas phage JBD30, complete genome_50	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG09894	REFSEQ hypothetical protein	8.3e-34	107.1	2.25
NC_020198.1 Pseudomonas phage JBD30, complete genome_51	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG01785	REFSEQ hypothetical protein	1.2e-27	87.6	2.15
NC_020198.1 Pseudomonas phage JBD30, complete genome_52	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG09893	REFSEQ hypothetical protein	1.2e-249	822.1	2.7
NC_020198.1 Pseudomonas phage JBD30, complete genome_53	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG01595	REFSEQ hypothetical protein	1.6e-108	353.9	1.64
NC_020198.1 Pseudomonas phage JBD30, complete genome_54	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11448	REFSEQ hypothetical protein	1.4e-37	120.1	1.8
NC_020198.1 Pseudomonas phage JBD30, complete genome_55	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG12212	REFSEQ hypothetical protein	4e-53	169.9	1.01
