Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
NZ_CP026538.1	NZ_CP026538.1@25	2252807	2253886	False	0%	NA	III-B	1.0	['TPR_1_CAS-III-B']	[1962]	['7.70e-03']	[0.511]	[0.402]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@38	3626310	3627128	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3184]	['8.70e-05']	[0.52]	[0.504]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@48	4449980	4454951	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[3912, 3916]	['1.70e-04', '1.00e-06']	[0.569, 0.451]	[0.496, 0.38]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@1	71940	72635	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[61]	['3.70e-06']	[0.453]	[0.356]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@43	3984095	3984802	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3491]	['1.00e-05']	[0.551]	[0.447]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@35	3081923	3082711	False	14%	0%	I-A	1.0	['Cas3_1_I']	[2702]	['1.10e-07']	[0.376]	[0.612]	1	NA
NZ_CP026538.1	NZ_CP026538.1@14	1519364	1520152	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1325]	['7.70e-05']	[0.346]	[0.306]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@7	625221	626252	False	14%	0%	I-A	1.0	['Cas3_1_I']	[555]	['7.30e-08']	[0.387]	[0.787]	1	NA
NZ_CP026538.1	NZ_CP026538.1@31	2825725	2827233	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2494]	['4.00e-10']	[0.316]	[0.349]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@36	3166237	3166995	False	25%	NA	V-K	1.0	['TnsC_0_V-K']	[2783]	['2.60e-04']	[0.356]	[0.307]	-1	NA
NZ_CP026538.1	NZ_CP026538.1@49	4506341	4507153	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[3959]	['4.10e-04']	[0.72]	[0.663]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@23	2154072	2154812	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1892]	['1.50e-03']	[0.381]	[0.31]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@34	2974006	2974455	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2613]	['7.10e-05']	[0.813]	[0.712]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@15	1529371	1530111	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1335]	['1.30e-08']	[0.534]	[0.447]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@46	4380857	4381585	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3840]	['7.20e-08']	[0.366]	[0.313]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@41	3910770	3911627	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[3425]	['7.30e-19']	[0.741]	[0.685]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@40	3732231	3732932	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3270]	['3.40e-08']	[0.393]	[0.317]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@9	1120917	1121756	False	29%	0%	I-A	2.0	['Cas3HD_0_CAS-I']	[979]	['1.00e-04']	[0.307]	[0.404]	1	NA
NZ_CP026538.1	NZ_CP026538.1@28	2460625	2462062	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[2158, 2159]	['1.80e-03', '2.80e-07']	[0.559, 0.419]	[0.451, 0.342]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@26	2328443	2330146	False	0%	NA	III-A	1.0	['TPR_1_CAS-III-A']	[2027]	['1.20e-03']	[0.421]	[0.442]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@29	2489278	2490006	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[2186]	['4.20e-05']	[0.395]	[0.324]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@11	1289348	1291879	False	0%	NA	III-B	1.0	['TPR_0_CAS-III-B']	[1131]	['2.60e-16']	[0.771]	[0.545]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@47	4401610	4402611	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3862]	['6.50e-03']	[0.533]	[0.695]	NA	NA
NZ_CP026538.1	NZ_CP026538.1@45	4326901	4327308	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3797]	['3.20e-13']	[0.544]	[0.627]	NA	NA
