protein	scaffold	accession	name
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_219	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00644	sp|O64332|TIPL_BPN15 Tail tip protein L
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_220	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF05939.13	Phage minor tail protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_221	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_222	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF06223.12	Minor tail protein T
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_223	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_224	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF16461.5	"Lambda phage tail tube protein, TTP"
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_225	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_226	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF06763.11	Prophage minor tail protein Z (GPZ)
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_227	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_228	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG02048	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_229	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG01099	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_230	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00719	sp|A3N1T0|CLPP_ACTP2 ATP-dependent Clp protease proteolytic subunit
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_231	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG01666	sp|P36272|PORTL_BPP21 Portal protein B
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_232	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG13570	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_233	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K21512	"gpA; terminase, large subunit [EC:3.1.21.4]"
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_234	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K22014	Nu1; terminase small subunit
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_235	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K14744	rzpD; prophage endopeptidase [EC:3.4.-.-]
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_236	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K17733	cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_237	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00095	sp|Q3T4L9|HOLIN_BPPRD Holin
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_238	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF08965.10	Domain of unknown function (DUF1870)
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_239	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_240	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF06530.12	Phage antitermination protein Q
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_241	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K01160	rusA; crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_242	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF06147.11	Protein of unknown function (DUF968)
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_243	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_244	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_245	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_246	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF03374.14	Phage antirepressor protein KilAC domain
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_247	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_248	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_249	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00974	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_250	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_251	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00672	sp|P75976|YMFL_ECOLI Uncharacterized protein YmfL
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_252	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K22302	dicC; transcriptional repressor of cell division inhibition gene dicB
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_253	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_254	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_255	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF11236.8	Protein of unknown function (DUF3037)
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_256	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_257	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG21208	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_258	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_259	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_260	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K06921	K06921; uncharacterized protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_261	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K03554	rdgC; recombination associated protein RdgC
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_262	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_263	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_264	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF12728.7	Helix-turn-helix domain
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_265	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG10563	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_266	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	PF05869.11	DNA N-6-adenine-methyltransferase (Dam)
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_267	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_268	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K03111	ssb; single-strand DNA-binding protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_269	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00265	sp|P44193|Y1422_HAEIN Uncharacterized protein HI_1422
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_270	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_271	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_272	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_273	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_274	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K07733	alpA; prophage regulatory protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_275	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_276	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K01951	"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_277	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K00088	"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_278	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K03601	xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_86	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00041	sp|O10330|VLF1_NPVOP Very late expression factor 1
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_87	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_88	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_89	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_90	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_91	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG03566	sp|P51705|VCOX_BPHC1 Regulatory protein cox
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_92	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF06892.11	Phage regulatory protein CII (CP76)
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_93	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_94	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_95	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_96	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_97	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_98	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	None	hypothetical protein
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_99	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG00821	sp|Q9G050|REP_BPPHM Replication-associated protein VP4
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_100	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	PF08681.11	Protein of unknown function (DUF1778)
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2_101	NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	VOG04435	REFSEQ hypothetical protein
